YM,monthNumber_x,TAVG_Celsius_x,avgTempsC_x,month_x,Diff_x,monthNumber_y,TAVG_Celsius_y,avgTempsC_y,month_y,Diff_y,Diff_SodHel
195906,06,11.157,10.398,June,0.760,06,15.074,14.712,June,0.362,-3.917
195907,07,12.750,13.471,July,-0.721,07,17.832,16.499,July,1.333,-5.082
195908,08,11.425,10.949,August,0.476,08,16.966,15.022,August,1.944,-5.541
196006,06,11.185,10.398,June,0.788,06,16.278,14.712,June,1.566,-5.093
196007,07,16.962,13.471,July,3.492,07,18.065,16.499,July,1.566,-1.103
196008,08,11.998,10.949,August,1.049,08,15.108,15.022,August,0.085,-3.109
196106,06,13.481,10.398,June,3.084,06,17.000,14.712,June,2.288,-3.519
196107,07,14.776,13.471,July,1.305,07,15.860,16.499,July,-0.639,-1.084
196108,08,10.753,10.949,August,-0.196,08,14.176,15.022,August,-0.846,-3.423
196206,06,8.417,10.398,June,-1.981,06,12.037,14.712,June,-2.675,-3.620
196207,07,10.269,13.471,July,-3.202,07,14.624,16.499,July,-1.875,-4.355
196208,08,8.566,10.949,August,-2.383,08,13.029,15.022,August,-1.993,-4.462
196306,06,8.287,10.398,June,-2.111,06,14.828,14.712,June,0.116,-6.541
196307,07,12.240,13.471,July,-1.231,07,16.882,16.499,July,0.383,-4.642
196308,08,11.362,10.949,August,0.413,08,16.344,15.022,August,1.322,-4.982
196406,06,9.306,10.398,June,-1.092,06,,14.712,June,,
196407,07,13.459,13.471,July,-0.012,07,,16.499,July,,
196408,08,10.833,10.949,August,-0.116,08,,15.022,August,,
196506,06,9.833,10.398,June,-0.564,06,,14.712,June,,
196507,07,10.878,13.471,July,-2.593,07,,16.499,July,,
196508,08,9.776,10.949,August,-1.173,08,,15.022,August,,
196606,06,11.593,10.398,June,1.195,06,,14.712,June,,
196607,07,13.244,13.471,July,-0.227,07,,16.499,July,,
196608,08,9.319,10.949,August,-1.630,08,,15.022,August,,
196706,06,9.713,10.398,June,-0.685,06,,14.712,June,,
196707,07,13.154,13.471,July,-0.317,07,,16.499,July,,
196708,08,13.262,10.949,August,2.313,08,,15.022,August,,
196806,06,10.472,10.398,June,0.075,06,,14.712,June,,
196807,07,9.884,13.471,July,-3.587,07,,16.499,July,,
196808,08,9.400,10.949,August,-1.549,08,,15.022,August,,
196906,06,8.796,10.398,June,-1.601,06,,14.712,June,,
196907,07,12.742,13.471,July,-0.729,07,,16.499,July,,
196908,08,11.048,10.949,August,0.099,08,,15.022,August,,
197006,06,12.731,10.398,June,2.334,06,,14.712,June,,
197007,07,14.973,13.471,July,1.502,07,,16.499,July,,
197008,08,11.183,10.949,August,0.234,08,,15.022,August,,
197106,06,8.685,10.398,June,-1.712,06,,14.712,June,,
197107,07,12.070,13.471,July,-1.401,07,,16.499,July,,
197108,08,10.905,10.949,August,-0.044,08,,15.022,August,,
197206,06,12.472,10.398,June,2.075,06,,14.712,June,,
197207,07,16.228,13.471,July,2.757,07,,16.499,July,,
197208,08,11.703,10.949,August,0.753,08,,15.022,August,,
197506,06,8.269,10.398,June,-2.129,06,13.667,14.712,June,-1.045,-5.398
197507,07,11.461,13.471,July,-2.010,07,17.706,16.499,July,1.207,-6.246
197508,08,9.310,10.949,August,-1.639,08,16.362,15.022,August,1.340,-7.052
197606,06,8.083,10.398,June,-2.314,06,12.889,14.712,June,-1.823,-4.806
197607,07,12.186,13.471,July,-1.284,07,15.735,16.499,July,-0.764,-3.548
197608,08,10.860,10.949,August,-0.089,08,15.358,15.022,August,0.336,-4.498
197706,06,8.676,10.398,June,-1.722,06,14.333,14.712,June,-0.379,-5.657
197707,07,12.939,13.471,July,-0.532,07,14.857,16.499,July,-1.642,-1.918
197708,08,9.830,10.949,August,-1.119,08,14.695,15.022,August,-0.327,-4.866
197806,06,9.759,10.398,June,-0.638,06,14.667,14.712,June,-0.045,-4.907
197807,07,12.106,13.471,July,-1.365,07,15.125,16.499,July,-1.373,-3.020
197808,08,9.229,10.949,August,-1.720,08,13.548,15.022,August,-1.474,-4.319
197906,06,11.102,10.398,June,0.704,06,16.019,14.712,June,1.307,-4.917
197907,07,14.023,13.471,July,0.552,07,14.839,16.499,July,-1.660,-0.815
197908,08,11.873,10.949,August,0.924,08,16.093,15.022,August,1.071,-4.220
198006,06,13.815,10.398,June,3.417,06,16.815,14.712,June,2.103,-3.000
198007,07,12.357,13.471,July,-1.114,07,16.720,16.499,July,0.222,-4.364
198008,08,10.081,10.949,August,-0.868,08,14.785,15.022,August,-0.237,-4.704
198106,06,7.704,10.398,June,-2.694,06,12.926,14.712,June,-1.786,-5.222
198107,07,13.790,13.471,July,0.320,07,16.559,16.499,July,0.060,-2.769
198108,08,10.027,10.949,August,-0.922,08,13.925,15.022,August,-1.097,-3.898
198206,06,5.806,10.398,June,-4.592,06,11.556,14.712,June,-3.156,-5.750
198207,07,13.602,13.471,July,0.131,07,17.043,16.499,July,0.544,-3.441
198208,08,10.269,10.949,August,-0.680,08,15.663,15.022,August,0.641,-5.394
198306,06,10.241,10.398,June,-0.157,06,13.537,14.712,June,-1.175,-3.296
198307,07,13.539,13.471,July,0.069,07,17.796,16.499,July,1.297,-4.256
198308,08,9.606,10.949,August,-1.343,08,15.663,15.022,August,0.641,-6.057
198406,06,10.685,10.398,June,0.288,06,13.944,14.712,June,-0.767,-3.259
198407,07,12.016,13.471,July,-1.455,07,15.161,16.499,July,-1.338,-3.145
198408,08,9.830,10.949,August,-1.119,08,14.910,15.022,August,-0.112,-5.081
198506,06,10.194,10.398,June,-0.203,06,13.426,14.712,June,-1.286,-3.231
198507,07,13.253,13.471,July,-0.218,07,15.806,16.499,July,-0.692,-2.554
198508,08,11.676,10.949,August,0.727,08,16.129,15.022,August,1.107,-4.453
198606,06,13.278,10.398,June,2.880,06,16.833,14.712,June,2.121,-3.556
198607,07,12.796,13.471,July,-0.675,07,17.151,16.499,July,0.652,-4.355
198608,08,8.943,10.949,August,-2.006,08,13.781,15.022,August,-1.241,-4.839
198706,06,10.009,10.398,June,-0.388,06,12.685,14.712,June,-2.027,-2.676
198707,07,11.237,13.471,July,-2.234,07,15.358,16.499,July,-1.140,-4.122
198708,08,8.593,10.949,August,-2.356,08,12.527,15.022,August,-2.495,-3.934
198806,06,11.870,10.398,June,1.473,06,17.278,14.712,June,2.566,-5.407
198807,07,15.403,13.471,July,1.932,07,19.767,16.499,July,3.268,-4.364
198808,08,11.120,10.949,August,0.171,08,14.588,15.022,August,-0.434,-3.468
198906,06,12.139,10.398,June,1.741,06,16.130,14.712,June,1.418,-3.991
198907,07,12.948,13.471,July,-0.523,07,17.473,16.499,July,0.974,-4.525
198908,08,11.272,10.949,August,0.323,08,14.355,15.022,August,-0.667,-3.082
199006,06,9.759,10.398,June,-0.638,06,14.389,14.712,June,-0.323,-4.630
199007,07,13.566,13.471,July,0.096,07,15.914,16.499,July,-0.585,-2.348
199008,08,11.335,10.949,August,0.386,08,15.789,15.022,August,0.766,-4.453
199106,06,9.861,10.398,June,-0.537,06,12.926,14.712,June,-1.786,-3.065
199107,07,13.226,13.471,July,-0.245,07,17.724,16.499,July,1.225,-4.498
199108,08,11.864,10.949,August,0.915,08,16.667,15.022,August,1.645,-4.803
199206,06,12.269,10.398,June,1.871,06,15.907,14.712,June,1.196,-3.639
199207,07,11.263,13.471,July,-2.207,07,16.810,16.499,July,0.311,-5.547
199208,08,9.041,10.949,August,-1.908,08,14.964,15.022,August,-0.058,-5.923
199306,06,7.083,10.398,June,-3.314,06,12.204,14.712,June,-2.508,-5.120
199307,07,13.790,13.471,July,0.320,07,16.093,16.499,July,-0.406,-2.303
199308,08,10.869,10.949,August,-0.080,08,13.638,15.022,August,-1.384,-2.769
199406,06,9.935,10.398,June,-0.462,06,12.870,14.712,June,-1.842,-2.935
199407,07,13.378,13.471,July,-0.093,07,19.928,16.499,July,3.429,-6.550
199408,08,11.398,10.949,August,0.449,08,15.591,15.022,August,0.569,-4.194
199506,06,11.722,10.398,June,1.325,06,17.556,14.712,June,2.844,-5.833
199507,07,11.362,13.471,July,-2.109,07,16.075,16.499,July,-0.424,-4.713
199508,08,10.806,10.949,August,-0.143,08,16.201,15.022,August,1.179,-5.394
199606,06,8.380,10.398,June,-2.018,06,13.574,14.712,June,-1.138,-5.194
199607,07,11.792,13.471,July,-1.679,07,14.749,16.499,July,-1.750,-2.957
199608,08,12.858,10.949,August,1.909,08,17.688,15.022,August,2.666,-4.830
199706,06,11.426,10.398,June,1.028,06,16.593,14.712,June,1.881,-5.167
199707,07,14.946,13.471,July,1.475,07,18.584,16.499,July,2.085,-3.638
199708,08,12.509,10.949,August,1.560,08,18.530,15.022,August,3.508,-6.022
199806,06,8.778,10.398,June,-1.620,06,14.611,14.712,June,-0.101,-5.833
199807,07,15.143,13.471,July,1.673,07,16.308,16.499,July,-0.191,-1.165
199808,08,10.233,10.949,August,-0.716,08,13.763,15.022,August,-1.259,-3.530
199906,06,13.370,10.398,June,2.973,06,18.556,14.712,June,3.844,-5.185
199907,07,14.373,13.471,July,0.902,07,19.319,16.499,July,2.820,-4.946
199908,08,9.050,10.949,August,-1.899,08,15.502,15.022,August,0.480,-6.452
200006,06,10.639,10.398,June,0.241,06,14.500,14.712,June,-0.212,-3.861
200007,07,14.785,13.471,July,1.314,07,16.971,16.499,July,0.472,-2.186
200008,08,11.335,10.949,August,0.386,08,15.556,15.022,August,0.533,-4.220
200106,06,12.769,10.398,June,2.371,06,14.204,14.712,June,-0.508,-1.435
200107,07,14.140,13.471,July,0.669,07,20.412,16.499,July,3.913,-6.272
200108,08,10.959,10.949,August,0.010,08,16.398,15.022,August,1.376,-5.439
200206,06,12.269,10.398,June,1.871,06,16.370,14.712,June,1.658,-4.102
200207,07,15.134,13.471,July,1.664,07,19.391,16.499,July,2.892,-4.256
200208,08,11.837,10.949,August,0.888,08,19.373,15.022,August,4.351,-7.536
200306,06,8.861,10.398,June,-1.537,06,13.111,14.712,June,-1.601,-4.250
200307,07,17.088,13.471,July,3.617,07,20.323,16.499,July,3.824,-3.235
200308,08,11.676,10.949,August,0.727,08,15.914,15.022,August,0.892,-4.238
200406,06,9.593,10.398,June,-0.805,06,13.000,14.712,June,-1.712,-3.407
200407,07,15.815,13.471,July,2.345,07,16.344,16.499,July,-0.155,-0.529
200408,08,11.541,10.949,August,0.592,08,16.685,15.022,August,1.663,-5.143
200506,06,11.861,10.398,June,1.463,06,14.130,14.712,June,-0.582,-2.269
200507,07,14.928,13.471,July,1.458,07,18.925,16.499,July,2.426,-3.996
200508,08,12.805,10.949,August,1.856,08,16.147,15.022,August,1.125,-3.342
200606,06,12.259,10.398,June,1.862,06,16.259,14.712,June,1.547,-4.000
200607,07,13.297,13.471,July,-0.173,07,18.907,16.499,July,2.408,-5.609
200608,08,13.082,10.949,August,2.133,08,18.100,15.022,August,3.078,-5.018
200706,06,10.361,10.398,June,-0.037,06,15.463,14.712,June,0.751,-5.102
200707,07,13.154,13.471,July,-0.317,07,17.240,16.499,July,0.741,-4.086
200708,08,12.258,10.949,August,1.309,08,17.151,15.022,August,2.128,-4.892
200806,06,9.704,10.398,June,-0.694,06,14.537,14.712,June,-0.175,-4.833
200807,07,12.616,13.471,July,-0.854,07,17.061,16.499,July,0.562,-4.444
200808,08,9.292,10.949,August,-1.657,08,14.803,15.022,August,-0.219,-5.511
200906,06,10.037,10.398,June,-0.361,06,14.111,14.712,June,-0.601,-4.074
200907,07,12.652,13.471,July,-0.818,07,17.133,16.499,July,0.634,-4.480
200908,08,12.885,10.949,August,1.936,08,16.075,15.022,August,1.053,-3.190
201006,06,9.444,10.398,June,-0.953,06,14.889,14.712,June,0.177,-5.444
201007,07,15.260,13.471,July,1.789,07,22.330,16.499,July,5.831,-7.070
201008,08,10.780,10.949,August,-0.169,08,17.670,15.022,August,2.648,-6.891
201106,06,13.167,10.398,June,2.769,06,17.370,14.712,June,2.658,-4.204
201107,07,15.547,13.471,July,2.076,07,20.789,16.499,July,4.290,-5.242
201108,08,10.941,10.949,August,-0.008,08,16.828,15.022,August,1.806,-5.887
201206,06,9.963,10.398,June,-0.435,06,13.611,14.712,June,-1.101,-3.648
201207,07,12.482,13.471,July,-0.989,07,17.903,16.499,July,1.404,-5.421
201208,08,10.681,10.949,August,-0.268,08,15.287,15.022,August,0.265,-4.606
201306,06,13.398,10.398,June,3.000,06,17.815,14.712,June,3.103,-4.417
201307,07,13.763,13.471,July,0.293,07,18.029,16.499,July,1.530,-4.265
201308,08,12.688,10.949,August,1.739,08,17.025,15.022,August,2.003,-4.337
201406,06,9.630,10.398,June,-0.768,06,13.556,14.712,June,-1.156,-3.926
201407,07,16.335,13.471,July,2.864,07,19.982,16.499,July,3.483,-3.647
201408,08,12.939,10.949,August,1.990,08,17.294,15.022,August,2.272,-4.355
201506,06,9.528,10.398,June,-0.870,06,13.537,14.712,June,-1.175,-4.009
201507,07,10.896,13.471,July,-2.575,07,16.075,16.499,July,-0.424,-5.179
201508,08,12.204,10.949,August,1.255,08,16.703,15.022,August,1.680,-4.498
201606,06,11.065,10.398,June,0.667,06,15.370,14.712,June,0.658,-4.306
201607,07,15.789,13.471,July,2.318,07,17.419,16.499,July,0.920,-1.631
201608,08,11.326,10.949,August,0.377,08,15.896,15.022,August,0.874,-4.570
201706,06,7.778,10.398,June,-2.620,06,13.500,14.712,June,-1.212,-5.722
201707,07,14.005,13.471,July,0.535,07,15.717,16.499,July,-0.782,-1.711
201708,08,10.851,10.949,August,-0.098,08,15.717,15.022,August,0.695,-4.866
